Time,power_t,power_t-1,power_t-2,power_t-3,power_t-4,power_t-5,power_t-6,power_t-7,power_t-8,power_t-9,power_t-10,power_t-11,power_t-12,power_t-13,power_t-14,power_t-15,power_t-16,power_ahead_t-1,power_ahead_t-2,power_ahead_t-3,power_ahead_t-4
2018/5/2 4:00,0.801432039,0.8028932040000001,0.79184466,0.814383495,0.795203883,0.762621359,0.776135922,0.795412621,0.8008932040000001,0.7995679609999999,0.73511165,0.879548544,0.785791262,0.8574757279999999,0.896475728,0.8965679609999999,0.918441748,0.8028932040000001,0.79184466,0.814383495,0.795203883
2018/5/2 4:15,0.8301601940000001,0.801432039,0.8028932040000001,0.79184466,0.814383495,0.795203883,0.762621359,0.776135922,0.795412621,0.8008932040000001,0.7995679609999999,0.73511165,0.879548544,0.785791262,0.8574757279999999,0.896475728,0.8965679609999999,0.801432039,0.8028932040000001,0.79184466,0.814383495
2018/5/2 4:30,0.821,0.8301601940000001,0.801432039,0.8028932040000001,0.79184466,0.814383495,0.795203883,0.762621359,0.776135922,0.795412621,0.8008932040000001,0.7995679609999999,0.73511165,0.879548544,0.785791262,0.8574757279999999,0.896475728,0.8301601940000001,0.801432039,0.8028932040000001,0.79184466
2018/5/2 4:45,0.7932135920000001,0.821,0.8301601940000001,0.801432039,0.8028932040000001,0.79184466,0.814383495,0.795203883,0.762621359,0.776135922,0.795412621,0.8008932040000001,0.7995679609999999,0.73511165,0.879548544,0.785791262,0.8574757279999999,0.821,0.8301601940000001,0.801432039,0.8028932040000001
2018/5/2 5:00,0.7590194170000001,0.7932135920000001,0.821,0.8301601940000001,0.801432039,0.8028932040000001,0.79184466,0.814383495,0.795203883,0.762621359,0.776135922,0.795412621,0.8008932040000001,0.7995679609999999,0.73511165,0.879548544,0.785791262,0.7932135920000001,0.821,0.8301601940000001,0.801432039
2018/5/2 5:15,0.711626214,0.7590194170000001,0.7932135920000001,0.821,0.8301601940000001,0.801432039,0.8028932040000001,0.79184466,0.814383495,0.795203883,0.762621359,0.776135922,0.795412621,0.8008932040000001,0.7995679609999999,0.73511165,0.879548544,0.7590194170000001,0.7932135920000001,0.821,0.8301601940000001
2018/5/2 5:30,0.724728155,0.711626214,0.7590194170000001,0.7932135920000001,0.821,0.8301601940000001,0.801432039,0.8028932040000001,0.79184466,0.814383495,0.795203883,0.762621359,0.776135922,0.795412621,0.8008932040000001,0.7995679609999999,0.73511165,0.711626214,0.7590194170000001,0.7932135920000001,0.821
2018/5/2 5:45,0.7424271840000001,0.724728155,0.711626214,0.7590194170000001,0.7932135920000001,0.821,0.8301601940000001,0.801432039,0.8028932040000001,0.79184466,0.814383495,0.795203883,0.762621359,0.776135922,0.795412621,0.8008932040000001,0.7995679609999999,0.724728155,0.711626214,0.7590194170000001,0.7932135920000001
2018/5/2 6:00,0.7683252429999999,0.7424271840000001,0.724728155,0.711626214,0.7590194170000001,0.7932135920000001,0.821,0.8301601940000001,0.801432039,0.8028932040000001,0.79184466,0.814383495,0.795203883,0.762621359,0.776135922,0.795412621,0.8008932040000001,0.7424271840000001,0.724728155,0.711626214,0.7590194170000001
2018/5/2 6:15,0.745296117,0.7683252429999999,0.7424271840000001,0.724728155,0.711626214,0.7590194170000001,0.7932135920000001,0.821,0.8301601940000001,0.801432039,0.8028932040000001,0.79184466,0.814383495,0.795203883,0.762621359,0.776135922,0.795412621,0.7683252429999999,0.7424271840000001,0.724728155,0.711626214
2018/5/2 6:30,0.7707378640000001,0.745296117,0.7683252429999999,0.7424271840000001,0.724728155,0.711626214,0.7590194170000001,0.7932135920000001,0.821,0.8301601940000001,0.801432039,0.8028932040000001,0.79184466,0.814383495,0.795203883,0.762621359,0.776135922,0.745296117,0.7683252429999999,0.7424271840000001,0.724728155
2018/5/2 6:45,0.8533543690000001,0.7707378640000001,0.745296117,0.7683252429999999,0.7424271840000001,0.724728155,0.711626214,0.7590194170000001,0.7932135920000001,0.821,0.8301601940000001,0.801432039,0.8028932040000001,0.79184466,0.814383495,0.795203883,0.762621359,0.7707378640000001,0.745296117,0.7683252429999999,0.7424271840000001
2018/5/2 7:00,0.969524272,0.8533543690000001,0.7707378640000001,0.745296117,0.7683252429999999,0.7424271840000001,0.724728155,0.711626214,0.7590194170000001,0.7932135920000001,0.821,0.8301601940000001,0.801432039,0.8028932040000001,0.79184466,0.814383495,0.795203883,0.8533543690000001,0.7707378640000001,0.745296117,0.7683252429999999
2018/5/2 7:15,0.9491067959999999,0.969524272,0.8533543690000001,0.7707378640000001,0.745296117,0.7683252429999999,0.7424271840000001,0.724728155,0.711626214,0.7590194170000001,0.7932135920000001,0.821,0.8301601940000001,0.801432039,0.8028932040000001,0.79184466,0.814383495,0.969524272,0.8533543690000001,0.7707378640000001,0.745296117
2018/5/2 7:30,0.9648252429999999,0.9491067959999999,0.969524272,0.8533543690000001,0.7707378640000001,0.745296117,0.7683252429999999,0.7424271840000001,0.724728155,0.711626214,0.7590194170000001,0.7932135920000001,0.821,0.8301601940000001,0.801432039,0.8028932040000001,0.79184466,0.9491067959999999,0.969524272,0.8533543690000001,0.7707378640000001
2018/5/2 7:45,0.983854369,0.9648252429999999,0.9491067959999999,0.969524272,0.8533543690000001,0.7707378640000001,0.745296117,0.7683252429999999,0.7424271840000001,0.724728155,0.711626214,0.7590194170000001,0.7932135920000001,0.821,0.8301601940000001,0.801432039,0.8028932040000001,0.9648252429999999,0.9491067959999999,0.969524272,0.8533543690000001
