Time,power_t,power_t-1,power_t-2,power_t-3,power_t-4,power_t-5,power_t-6,power_t-7,power_t-8,power_t-9,power_t-10,power_t-11,power_t-12,power_t-13,power_t-14,power_t-15,power_t-16
2018-06-01 06:30:00-05,1.095579207920792,1.1034356435643564,1.0248069306930694,1.0748564356435644,1.1144504950495049,1.1195594059405942,1.2889851485148516,1.2341237623762376,1.1436980198019802,1.2489653465346535,1.138138613861386,1.27519801980198,1.2525396039603962,1.3294455445544555,1.3089851485148516,1.2627970297029705,1.1834653465346534
2018-06-01 06:45:00-05,1.2067277227722772,1.095579207920792,1.1034356435643564,1.0248069306930694,1.0748564356435644,1.1144504950495049,1.1195594059405942,1.2889851485148516,1.2341237623762376,1.1436980198019802,1.2489653465346535,1.138138613861386,1.27519801980198,1.2525396039603962,1.3294455445544555,1.3089851485148516,1.2627970297029705
2018-06-01 07:00:00-05,1.1465099009900992,1.2067277227722772,1.095579207920792,1.1034356435643564,1.0248069306930694,1.0748564356435644,1.1144504950495049,1.1195594059405942,1.2889851485148516,1.2341237623762376,1.1436980198019802,1.2489653465346535,1.138138613861386,1.27519801980198,1.2525396039603962,1.3294455445544555,1.3089851485148516
2018-06-01 07:15:00-05,1.1734752475247523,1.1465099009900992,1.2067277227722772,1.095579207920792,1.1034356435643564,1.0248069306930694,1.0748564356435644,1.1144504950495049,1.1195594059405942,1.2889851485148516,1.2341237623762376,1.1436980198019802,1.2489653465346535,1.138138613861386,1.27519801980198,1.2525396039603962,1.3294455445544555
2018-06-01 07:30:00-05,1.1379108910891091,1.1734752475247523,1.1465099009900992,1.2067277227722772,1.095579207920792,1.1034356435643564,1.0248069306930694,1.0748564356435644,1.1144504950495049,1.1195594059405942,1.2889851485148516,1.2341237623762376,1.1436980198019802,1.2489653465346535,1.138138613861386,1.27519801980198,1.2525396039603962
2018-06-01 07:45:00-05,1.2311930693069308,1.1379108910891091,1.1734752475247523,1.1465099009900992,1.2067277227722772,1.095579207920792,1.1034356435643564,1.0248069306930694,1.0748564356435644,1.1144504950495049,1.1195594059405942,1.2889851485148516,1.2341237623762376,1.1436980198019802,1.2489653465346535,1.138138613861386,1.27519801980198
2018-06-01 08:00:00-05,1.1729257425742574,1.2311930693069308,1.1379108910891091,1.1734752475247523,1.1465099009900992,1.2067277227722772,1.095579207920792,1.1034356435643564,1.0248069306930694,1.0748564356435644,1.1144504950495049,1.1195594059405942,1.2889851485148516,1.2341237623762376,1.1436980198019802,1.2489653465346535,1.138138613861386
2018-06-01 08:15:00-05,1.0963267326732673,1.1729257425742574,1.2311930693069308,1.1379108910891091,1.1734752475247523,1.1465099009900992,1.2067277227722772,1.095579207920792,1.1034356435643564,1.0248069306930694,1.0748564356435644,1.1144504950495049,1.1195594059405942,1.2889851485148516,1.2341237623762376,1.1436980198019802,1.2489653465346535
2018-06-01 08:30:00-05,1.1043712871287128,1.0963267326732673,1.1729257425742574,1.2311930693069308,1.1379108910891091,1.1734752475247523,1.1465099009900992,1.2067277227722772,1.095579207920792,1.1034356435643564,1.0248069306930694,1.0748564356435644,1.1144504950495049,1.1195594059405942,1.2889851485148516,1.2341237623762376,1.1436980198019802
2018-06-01 08:45:00-05,1.1977524752475248,1.1043712871287128,1.0963267326732673,1.1729257425742574,1.2311930693069308,1.1379108910891091,1.1734752475247523,1.1465099009900992,1.2067277227722772,1.095579207920792,1.1034356435643564,1.0248069306930694,1.0748564356435644,1.1144504950495049,1.1195594059405942,1.2889851485148516,1.2341237623762376
