Time,power_t,power_t-1,power_t-2,power_t-3,power_t-4,power_t-5,power_t-6,power_t-7,power_t-8,power_t-9,power_t-10,power_t-11,power_t-12,power_t-13,power_t-14,power_t-15,power_t-16
2018-02-01 04:00:00-06,0.6301441441441441,0.6129684684684685,0.6152882882882883,0.593864864864865,0.5915135135135134,0.5334594594594595,0.5380315315315316,0.5709504504504503,0.5825720720720722,0.6030990990990991,0.6160405405405407,0.6191351351351351,0.6091981981981983,0.6216171171171171,0.5979054054054055,0.6403873873873873,0.6849144144144145
2018-02-01 04:15:00-06,0.6599504504504504,0.6301441441441441,0.6129684684684685,0.6152882882882883,0.593864864864865,0.5915135135135134,0.5334594594594595,0.5380315315315316,0.5709504504504503,0.5825720720720722,0.6030990990990991,0.6160405405405407,0.6191351351351351,0.6091981981981983,0.6216171171171171,0.5979054054054055,0.6403873873873873
2018-02-01 04:30:00-06,0.6627207207207209,0.6599504504504504,0.6301441441441441,0.6129684684684685,0.6152882882882883,0.593864864864865,0.5915135135135134,0.5334594594594595,0.5380315315315316,0.5709504504504503,0.5825720720720722,0.6030990990990991,0.6160405405405407,0.6191351351351351,0.6091981981981983,0.6216171171171171,0.5979054054054055
2018-02-01 04:45:00-06,0.7088558558558559,0.6627207207207209,0.6599504504504504,0.6301441441441441,0.6129684684684685,0.6152882882882883,0.593864864864865,0.5915135135135134,0.5334594594594595,0.5380315315315316,0.5709504504504503,0.5825720720720722,0.6030990990990991,0.6160405405405407,0.6191351351351351,0.6091981981981983,0.6216171171171171
2018-02-01 05:00:00-06,0.6858828828828828,0.7088558558558559,0.6627207207207209,0.6599504504504504,0.6301441441441441,0.6129684684684685,0.6152882882882883,0.593864864864865,0.5915135135135134,0.5334594594594595,0.5380315315315316,0.5709504504504503,0.5825720720720722,0.6030990990990991,0.6160405405405407,0.6191351351351351,0.6091981981981983
2018-02-01 05:15:00-06,0.6495405405405404,0.6858828828828828,0.7088558558558559,0.6627207207207209,0.6599504504504504,0.6301441441441441,0.6129684684684685,0.6152882882882883,0.593864864864865,0.5915135135135134,0.5334594594594595,0.5380315315315316,0.5709504504504503,0.5825720720720722,0.6030990990990991,0.6160405405405407,0.6191351351351351
2018-02-01 05:30:00-06,0.6667882882882884,0.6495405405405404,0.6858828828828828,0.7088558558558559,0.6627207207207209,0.6599504504504504,0.6301441441441441,0.6129684684684685,0.6152882882882883,0.593864864864865,0.5915135135135134,0.5334594594594595,0.5380315315315316,0.5709504504504503,0.5825720720720722,0.6030990990990991,0.6160405405405407
2018-02-01 05:45:00-06,0.6481216216216216,0.6667882882882884,0.6495405405405404,0.6858828828828828,0.7088558558558559,0.6627207207207209,0.6599504504504504,0.6301441441441441,0.6129684684684685,0.6152882882882883,0.593864864864865,0.5915135135135134,0.5334594594594595,0.5380315315315316,0.5709504504504503,0.5825720720720722,0.6030990990990991
2018-02-01 06:00:00-06,0.6900000000000001,0.6481216216216216,0.6667882882882884,0.6495405405405404,0.6858828828828828,0.7088558558558559,0.6627207207207209,0.6599504504504504,0.6301441441441441,0.6129684684684685,0.6152882882882883,0.593864864864865,0.5915135135135134,0.5334594594594595,0.5380315315315316,0.5709504504504503,0.5825720720720722
2018-02-01 06:15:00-06,0.7632522522522522,0.6900000000000001,0.6481216216216216,0.6667882882882884,0.6495405405405404,0.6858828828828828,0.7088558558558559,0.6627207207207209,0.6599504504504504,0.6301441441441441,0.6129684684684685,0.6152882882882883,0.593864864864865,0.5915135135135134,0.5334594594594595,0.5380315315315316,0.5709504504504503
2018-02-01 06:30:00-06,0.8180360360360361,0.7632522522522522,0.6900000000000001,0.6481216216216216,0.6667882882882884,0.6495405405405404,0.6858828828828828,0.7088558558558559,0.6627207207207209,0.6599504504504504,0.6301441441441441,0.6129684684684685,0.6152882882882883,0.593864864864865,0.5915135135135134,0.5334594594594595,0.5380315315315316
2018-02-01 06:45:00-06,0.8823603603603605,0.8180360360360361,0.7632522522522522,0.6900000000000001,0.6481216216216216,0.6667882882882884,0.6495405405405404,0.6858828828828828,0.7088558558558559,0.6627207207207209,0.6599504504504504,0.6301441441441441,0.6129684684684685,0.6152882882882883,0.593864864864865,0.5915135135135134,0.5334594594594595
2018-02-01 07:00:00-06,0.9993918918918921,0.8823603603603605,0.8180360360360361,0.7632522522522522,0.6900000000000001,0.6481216216216216,0.6667882882882884,0.6495405405405404,0.6858828828828828,0.7088558558558559,0.6627207207207209,0.6599504504504504,0.6301441441441441,0.6129684684684685,0.6152882882882883,0.593864864864865,0.5915135135135134
2018-02-01 07:15:00-06,1.0731936936936934,0.9993918918918921,0.8823603603603605,0.8180360360360361,0.7632522522522522,0.6900000000000001,0.6481216216216216,0.6667882882882884,0.6495405405405404,0.6858828828828828,0.7088558558558559,0.6627207207207209,0.6599504504504504,0.6301441441441441,0.6129684684684685,0.6152882882882883,0.593864864864865
2018-02-01 07:30:00-06,1.0433333333333337,1.0731936936936934,0.9993918918918921,0.8823603603603605,0.8180360360360361,0.7632522522522522,0.6900000000000001,0.6481216216216216,0.6667882882882884,0.6495405405405404,0.6858828828828828,0.7088558558558559,0.6627207207207209,0.6599504504504504,0.6301441441441441,0.6129684684684685,0.6152882882882883
2018-02-01 07:45:00-06,0.9750360360360362,1.0433333333333337,1.0731936936936934,0.9993918918918921,0.8823603603603605,0.8180360360360361,0.7632522522522522,0.6900000000000001,0.6481216216216216,0.6667882882882884,0.6495405405405404,0.6858828828828828,0.7088558558558559,0.6627207207207209,0.6599504504504504,0.6301441441441441,0.6129684684684685
2018-02-01 08:00:00-06,0.9265585585585588,0.9750360360360362,1.0433333333333337,1.0731936936936934,0.9993918918918921,0.8823603603603605,0.8180360360360361,0.7632522522522522,0.6900000000000001,0.6481216216216216,0.6667882882882884,0.6495405405405404,0.6858828828828828,0.7088558558558559,0.6627207207207209,0.6599504504504504,0.6301441441441441
2018-02-01 08:15:00-06,0.8375,0.9265585585585588,0.9750360360360362,1.0433333333333337,1.0731936936936934,0.9993918918918921,0.8823603603603605,0.8180360360360361,0.7632522522522522,0.6900000000000001,0.6481216216216216,0.6667882882882884,0.6495405405405404,0.6858828828828828,0.7088558558558559,0.6627207207207209,0.6599504504504504
2018-02-01 08:30:00-06,0.8813828828828828,0.8375,0.9265585585585588,0.9750360360360362,1.0433333333333337,1.0731936936936934,0.9993918918918921,0.8823603603603605,0.8180360360360361,0.7632522522522522,0.6900000000000001,0.6481216216216216,0.6667882882882884,0.6495405405405404,0.6858828828828828,0.7088558558558559,0.6627207207207209
2018-02-01 08:45:00-06,0.8213243243243243,0.8813828828828828,0.8375,0.9265585585585588,0.9750360360360362,1.0433333333333337,1.0731936936936934,0.9993918918918921,0.8823603603603605,0.8180360360360361,0.7632522522522522,0.6900000000000001,0.6481216216216216,0.6667882882882884,0.6495405405405404,0.6858828828828828,0.7088558558558559
2018-02-01 09:00:00-06,0.8869999999999999,0.8213243243243243,0.8813828828828828,0.8375,0.9265585585585588,0.9750360360360362,1.0433333333333337,1.0731936936936934,0.9993918918918921,0.8823603603603605,0.8180360360360361,0.7632522522522522,0.6900000000000001,0.6481216216216216,0.6667882882882884,0.6495405405405404,0.6858828828828828
2018-02-01 09:15:00-06,0.9021711711711712,0.8869999999999999,0.8213243243243243,0.8813828828828828,0.8375,0.9265585585585588,0.9750360360360362,1.0433333333333337,1.0731936936936934,0.9993918918918921,0.8823603603603605,0.8180360360360361,0.7632522522522522,0.6900000000000001,0.6481216216216216,0.6667882882882884,0.6495405405405404
2018-02-01 09:30:00-06,0.8302882882882884,0.9021711711711712,0.8869999999999999,0.8213243243243243,0.8813828828828828,0.8375,0.9265585585585588,0.9750360360360362,1.0433333333333337,1.0731936936936934,0.9993918918918921,0.8823603603603605,0.8180360360360361,0.7632522522522522,0.6900000000000001,0.6481216216216216,0.6667882882882884
2018-02-01 09:45:00-06,0.9150225225225224,0.8302882882882884,0.9021711711711712,0.8869999999999999,0.8213243243243243,0.8813828828828828,0.8375,0.9265585585585588,0.9750360360360362,1.0433333333333337,1.0731936936936934,0.9993918918918921,0.8823603603603605,0.8180360360360361,0.7632522522522522,0.6900000000000001,0.6481216216216216
2018-02-01 10:00:00-06,0.8619774774774774,0.9150225225225224,0.8302882882882884,0.9021711711711712,0.8869999999999999,0.8213243243243243,0.8813828828828828,0.8375,0.9265585585585588,0.9750360360360362,1.0433333333333337,1.0731936936936934,0.9993918918918921,0.8823603603603605,0.8180360360360361,0.7632522522522522,0.6900000000000001
2018-02-01 10:15:00-06,0.8931711711711712,0.8619774774774774,0.9150225225225224,0.8302882882882884,0.9021711711711712,0.8869999999999999,0.8213243243243243,0.8813828828828828,0.8375,0.9265585585585588,0.9750360360360362,1.0433333333333337,1.0731936936936934,0.9993918918918921,0.8823603603603605,0.8180360360360361,0.7632522522522522
2018-02-01 10:30:00-06,0.8739504504504504,0.8931711711711712,0.8619774774774774,0.9150225225225224,0.8302882882882884,0.9021711711711712,0.8869999999999999,0.8213243243243243,0.8813828828828828,0.8375,0.9265585585585588,0.9750360360360362,1.0433333333333337,1.0731936936936934,0.9993918918918921,0.8823603603603605,0.8180360360360361
2018-02-01 10:45:00-06,0.8674909909909908,0.8739504504504504,0.8931711711711712,0.8619774774774774,0.9150225225225224,0.8302882882882884,0.9021711711711712,0.8869999999999999,0.8213243243243243,0.8813828828828828,0.8375,0.9265585585585588,0.9750360360360362,1.0433333333333337,1.0731936936936934,0.9993918918918921,0.8823603603603605
2018-02-01 11:00:00-06,0.8571441441441442,0.8674909909909908,0.8739504504504504,0.8931711711711712,0.8619774774774774,0.9150225225225224,0.8302882882882884,0.9021711711711712,0.8869999999999999,0.8213243243243243,0.8813828828828828,0.8375,0.9265585585585588,0.9750360360360362,1.0433333333333337,1.0731936936936934,0.9993918918918921
2018-02-01 11:15:00-06,0.8224909909909908,0.8571441441441442,0.8674909909909908,0.8739504504504504,0.8931711711711712,0.8619774774774774,0.9150225225225224,0.8302882882882884,0.9021711711711712,0.8869999999999999,0.8213243243243243,0.8813828828828828,0.8375,0.9265585585585588,0.9750360360360362,1.0433333333333337,1.0731936936936934
2018-02-01 11:30:00-06,0.8021171171171171,0.8224909909909908,0.8571441441441442,0.8674909909909908,0.8739504504504504,0.8931711711711712,0.8619774774774774,0.9150225225225224,0.8302882882882884,0.9021711711711712,0.8869999999999999,0.8213243243243243,0.8813828828828828,0.8375,0.9265585585585588,0.9750360360360362,1.0433333333333337
2018-02-01 11:45:00-06,0.8235405405405406,0.8021171171171171,0.8224909909909908,0.8571441441441442,0.8674909909909908,0.8739504504504504,0.8931711711711712,0.8619774774774774,0.9150225225225224,0.8302882882882884,0.9021711711711712,0.8869999999999999,0.8213243243243243,0.8813828828828828,0.8375,0.9265585585585588,0.9750360360360362
2018-02-01 12:00:00-06,0.8729909909909911,0.8235405405405406,0.8021171171171171,0.8224909909909908,0.8571441441441442,0.8674909909909908,0.8739504504504504,0.8931711711711712,0.8619774774774774,0.9150225225225224,0.8302882882882884,0.9021711711711712,0.8869999999999999,0.8213243243243243,0.8813828828828828,0.8375,0.9265585585585588
2018-02-01 12:15:00-06,0.8471981981981981,0.8729909909909911,0.8235405405405406,0.8021171171171171,0.8224909909909908,0.8571441441441442,0.8674909909909908,0.8739504504504504,0.8931711711711712,0.8619774774774774,0.9150225225225224,0.8302882882882884,0.9021711711711712,0.8869999999999999,0.8213243243243243,0.8813828828828828,0.8375
