Time,power
2018-04-02 05:00:00-05,0.6150798122065728
2018-04-02 05:15:00-05,0.6072112676056338
2018-04-02 05:30:00-05,0.5832769953051644
2018-04-02 05:45:00-05,0.5607840375586854
2018-04-02 06:00:00-05,0.5637370892018779
2018-04-02 06:15:00-05,0.6432957746478872
2018-04-02 06:30:00-05,0.7003708920187794
2018-04-02 06:45:00-05,0.7543990610328638
2018-04-02 07:00:00-05,0.7885211267605633
2018-04-02 07:15:00-05,0.7874084507042254
2018-04-02 07:30:00-05,0.7846291079812208
2018-04-02 07:45:00-05,0.8376572769953051
2018-04-02 08:00:00-05,0.8574694835680752
2018-04-02 08:15:00-05,0.8532535211267606
2018-04-02 08:30:00-05,0.8406713615023473
2018-04-02 08:45:00-05,0.815394366197183
2018-04-02 09:00:00-05,0.7869718309859155
2018-04-02 09:15:00-05,0.8025352112676056
2018-04-02 09:30:00-05,0.8111596244131455
2018-04-02 09:45:00-05,0.7850892018779344
2018-04-02 10:00:00-05,0.7785962441314555
2018-04-02 10:15:00-05,0.7895774647887325
2018-04-02 10:30:00-05,0.8690281690140845
2018-04-02 10:45:00-05,0.9627276995305164
2018-04-02 11:00:00-05,0.8974882629107982
2018-04-02 11:15:00-05,0.8336760563380282
2018-04-02 11:30:00-05,0.8586244131455399
2018-04-02 11:45:00-05,0.8969436619718308
2018-04-02 12:00:00-05,0.8857558685446009
2018-04-02 12:15:00-05,0.9253943661971832
2018-04-02 12:30:00-05,1.0025164319248827
2018-04-02 12:45:00-05,0.895887323943662
2018-04-02 13:00:00-05,0.9271643192488264
2018-04-02 13:15:00-05,0.9452816901408451
2018-04-02 13:30:00-05,0.9904131455399062
2018-04-02 13:45:00-05,0.9384694835680752
2018-04-02 14:00:00-05,0.9511643192488264
2018-04-02 14:15:00-05,1.0018685446009388
2018-04-02 14:30:00-05,0.9996291079812206
2018-04-02 14:45:00-05,1.0804131455399062
2018-04-02 15:00:00-05,0.9859107981220658
2018-04-02 15:15:00-05,0.9901361502347418
2018-04-02 15:30:00-05,0.9895680751173708
2018-04-02 15:45:00-05,1.0301643192488263
2018-04-02 16:00:00-05,1.1307699530516433
2018-04-02 16:15:00-05,1.167868544600939
2018-04-02 16:30:00-05,1.1572018779342723
2018-04-02 16:45:00-05,1.2347042253521128
2018-04-02 17:00:00-05,1.349023474178404
2018-04-02 17:15:00-05,1.3807230046948358
2018-04-02 17:30:00-05,1.3075492957746475
2018-04-02 17:45:00-05,1.4149765258215965
2018-04-02 18:00:00-05,1.5413943661971832
2018-04-02 18:15:00-05,1.5158122065727702
2018-04-02 18:30:00-05,1.4469342723004694
2018-04-02 18:45:00-05,1.4798779342723007
2018-04-02 19:00:00-05,1.488093896713615
2018-04-02 19:15:00-05,1.5112910798122063
2018-04-02 19:30:00-05,1.596037558685446
2018-04-02 19:45:00-05,1.51043661971831
2018-04-02 20:00:00-05,1.4900140845070424
2018-04-02 20:15:00-05,1.4993661971830987
2018-04-02 20:30:00-05,1.5370469483568077
2018-04-02 20:45:00-05,1.5604178403755866
2018-04-02 21:00:00-05,1.4618920187793432
2018-04-02 21:15:00-05,1.547586854460094
2018-04-02 21:30:00-05,1.496178403755868
2018-04-02 21:45:00-05,1.4929671361502348
2018-04-02 22:00:00-05,1.4945352112676058
2018-04-02 22:15:00-05,1.423910798122066
2018-04-02 22:30:00-05,1.3166666666666669
2018-04-02 22:45:00-05,1.2625868544600936
2018-04-02 23:00:00-05,1.1617887323943663
2018-04-02 23:15:00-05,1.1366901408450705
2018-04-02 23:30:00-05,1.0737840375586856
