Time,power_t,power_t-1,power_t-2,power_t-3,power_t-4,power_t-5,power_t-6,power_t-7,power_t-8,power_t-9,power_t-10,power_t-11,power_t-12,power_t-13,power_t-14,power_t-15,power_t-16
2018-03-01 04:00:00-06,0.6079457013574662,0.5910361990950228,0.5867873303167421,0.5575022624434389,0.5903438914027149,0.5979457013574662,0.6225701357466065,0.6030180995475114,0.6149004524886877,0.6468733031674209,0.6575610859728507,0.7115972850678733,0.666764705882353,0.6785022624434389,0.6781855203619911,0.7365384615384616,0.8234751131221719
2018-03-01 04:15:00-06,0.5970859728506788,0.6079457013574662,0.5910361990950228,0.5867873303167421,0.5575022624434389,0.5903438914027149,0.5979457013574662,0.6225701357466065,0.6030180995475114,0.6149004524886877,0.6468733031674209,0.6575610859728507,0.7115972850678733,0.666764705882353,0.6785022624434389,0.6781855203619911,0.7365384615384616
2018-03-01 04:30:00-06,0.601660633484163,0.5970859728506788,0.6079457013574662,0.5910361990950228,0.5867873303167421,0.5575022624434389,0.5903438914027149,0.5979457013574662,0.6225701357466065,0.6030180995475114,0.6149004524886877,0.6468733031674209,0.6575610859728507,0.7115972850678733,0.666764705882353,0.6785022624434389,0.6781855203619911
2018-03-01 04:45:00-06,0.6033348416289592,0.601660633484163,0.5970859728506788,0.6079457013574662,0.5910361990950228,0.5867873303167421,0.5575022624434389,0.5903438914027149,0.5979457013574662,0.6225701357466065,0.6030180995475114,0.6149004524886877,0.6468733031674209,0.6575610859728507,0.7115972850678733,0.666764705882353,0.6785022624434389
2018-03-01 05:00:00-06,0.6098597285067873,0.6033348416289592,0.601660633484163,0.5970859728506788,0.6079457013574662,0.5910361990950228,0.5867873303167421,0.5575022624434389,0.5903438914027149,0.5979457013574662,0.6225701357466065,0.6030180995475114,0.6149004524886877,0.6468733031674209,0.6575610859728507,0.7115972850678733,0.666764705882353
2018-03-01 05:15:00-06,0.6077285067873303,0.6098597285067873,0.6033348416289592,0.601660633484163,0.5970859728506788,0.6079457013574662,0.5910361990950228,0.5867873303167421,0.5575022624434389,0.5903438914027149,0.5979457013574662,0.6225701357466065,0.6030180995475114,0.6149004524886877,0.6468733031674209,0.6575610859728507,0.7115972850678733
2018-03-01 05:30:00-06,0.6053574660633484,0.6077285067873303,0.6098597285067873,0.6033348416289592,0.601660633484163,0.5970859728506788,0.6079457013574662,0.5910361990950228,0.5867873303167421,0.5575022624434389,0.5903438914027149,0.5979457013574662,0.6225701357466065,0.6030180995475114,0.6149004524886877,0.6468733031674209,0.6575610859728507
2018-03-01 05:45:00-06,0.5891764705882353,0.6053574660633484,0.6077285067873303,0.6098597285067873,0.6033348416289592,0.601660633484163,0.5970859728506788,0.6079457013574662,0.5910361990950228,0.5867873303167421,0.5575022624434389,0.5903438914027149,0.5979457013574662,0.6225701357466065,0.6030180995475114,0.6149004524886877,0.6468733031674209
2018-03-01 06:00:00-06,0.5866606334841629,0.5891764705882353,0.6053574660633484,0.6077285067873303,0.6098597285067873,0.6033348416289592,0.601660633484163,0.5970859728506788,0.6079457013574662,0.5910361990950228,0.5867873303167421,0.5575022624434389,0.5903438914027149,0.5979457013574662,0.6225701357466065,0.6030180995475114,0.6149004524886877
2018-03-01 06:15:00-06,0.6475067873303167,0.5866606334841629,0.5891764705882353,0.6053574660633484,0.6077285067873303,0.6098597285067873,0.6033348416289592,0.601660633484163,0.5970859728506788,0.6079457013574662,0.5910361990950228,0.5867873303167421,0.5575022624434389,0.5903438914027149,0.5979457013574662,0.6225701357466065,0.6030180995475114
2018-03-01 06:30:00-06,0.7304253393665158,0.6475067873303167,0.5866606334841629,0.5891764705882353,0.6053574660633484,0.6077285067873303,0.6098597285067873,0.6033348416289592,0.601660633484163,0.5970859728506788,0.6079457013574662,0.5910361990950228,0.5867873303167421,0.5575022624434389,0.5903438914027149,0.5979457013574662,0.6225701357466065
2018-03-01 06:45:00-06,0.767710407239819,0.7304253393665158,0.6475067873303167,0.5866606334841629,0.5891764705882353,0.6053574660633484,0.6077285067873303,0.6098597285067873,0.6033348416289592,0.601660633484163,0.5970859728506788,0.6079457013574662,0.5910361990950228,0.5867873303167421,0.5575022624434389,0.5903438914027149,0.5979457013574662
2018-03-01 07:00:00-06,0.8042126696832579,0.767710407239819,0.7304253393665158,0.6475067873303167,0.5866606334841629,0.5891764705882353,0.6053574660633484,0.6077285067873303,0.6098597285067873,0.6033348416289592,0.601660633484163,0.5970859728506788,0.6079457013574662,0.5910361990950228,0.5867873303167421,0.5575022624434389,0.5903438914027149
2018-03-01 07:15:00-06,0.8006199095022625,0.8042126696832579,0.767710407239819,0.7304253393665158,0.6475067873303167,0.5866606334841629,0.5891764705882353,0.6053574660633484,0.6077285067873303,0.6098597285067873,0.6033348416289592,0.601660633484163,0.5970859728506788,0.6079457013574662,0.5910361990950228,0.5867873303167421,0.5575022624434389
2018-03-01 07:30:00-06,0.8371131221719458,0.8006199095022625,0.8042126696832579,0.767710407239819,0.7304253393665158,0.6475067873303167,0.5866606334841629,0.5891764705882353,0.6053574660633484,0.6077285067873303,0.6098597285067873,0.6033348416289592,0.601660633484163,0.5970859728506788,0.6079457013574662,0.5910361990950228,0.5867873303167421
2018-03-01 07:45:00-06,0.8419230769230769,0.8371131221719458,0.8006199095022625,0.8042126696832579,0.767710407239819,0.7304253393665158,0.6475067873303167,0.5866606334841629,0.5891764705882353,0.6053574660633484,0.6077285067873303,0.6098597285067873,0.6033348416289592,0.601660633484163,0.5970859728506788,0.6079457013574662,0.5910361990950228
2018-03-01 08:00:00-06,0.8399276018099547,0.8419230769230769,0.8371131221719458,0.8006199095022625,0.8042126696832579,0.767710407239819,0.7304253393665158,0.6475067873303167,0.5866606334841629,0.5891764705882353,0.6053574660633484,0.6077285067873303,0.6098597285067873,0.6033348416289592,0.601660633484163,0.5970859728506788,0.6079457013574662
2018-03-01 08:15:00-06,0.7764027149321268,0.8399276018099547,0.8419230769230769,0.8371131221719458,0.8006199095022625,0.8042126696832579,0.767710407239819,0.7304253393665158,0.6475067873303167,0.5866606334841629,0.5891764705882353,0.6053574660633484,0.6077285067873303,0.6098597285067873,0.6033348416289592,0.601660633484163,0.5970859728506788
2018-03-01 08:30:00-06,0.7733936651583712,0.7764027149321268,0.8399276018099547,0.8419230769230769,0.8371131221719458,0.8006199095022625,0.8042126696832579,0.767710407239819,0.7304253393665158,0.6475067873303167,0.5866606334841629,0.5891764705882353,0.6053574660633484,0.6077285067873303,0.6098597285067873,0.6033348416289592,0.601660633484163
2018-03-01 08:45:00-06,0.8367737556561086,0.7733936651583712,0.7764027149321268,0.8399276018099547,0.8419230769230769,0.8371131221719458,0.8006199095022625,0.8042126696832579,0.767710407239819,0.7304253393665158,0.6475067873303167,0.5866606334841629,0.5891764705882353,0.6053574660633484,0.6077285067873303,0.6098597285067873,0.6033348416289592
2018-03-01 09:00:00-06,0.8258009049773756,0.8367737556561086,0.7733936651583712,0.7764027149321268,0.8399276018099547,0.8419230769230769,0.8371131221719458,0.8006199095022625,0.8042126696832579,0.767710407239819,0.7304253393665158,0.6475067873303167,0.5866606334841629,0.5891764705882353,0.6053574660633484,0.6077285067873303,0.6098597285067873
2018-03-01 09:15:00-06,0.8081493212669684,0.8258009049773756,0.8367737556561086,0.7733936651583712,0.7764027149321268,0.8399276018099547,0.8419230769230769,0.8371131221719458,0.8006199095022625,0.8042126696832579,0.767710407239819,0.7304253393665158,0.6475067873303167,0.5866606334841629,0.5891764705882353,0.6053574660633484,0.6077285067873303
2018-03-01 09:30:00-06,0.8416018099547513,0.8081493212669684,0.8258009049773756,0.8367737556561086,0.7733936651583712,0.7764027149321268,0.8399276018099547,0.8419230769230769,0.8371131221719458,0.8006199095022625,0.8042126696832579,0.767710407239819,0.7304253393665158,0.6475067873303167,0.5866606334841629,0.5891764705882353,0.6053574660633484
2018-03-01 09:45:00-06,0.7938280542986427,0.8416018099547513,0.8081493212669684,0.8258009049773756,0.8367737556561086,0.7733936651583712,0.7764027149321268,0.8399276018099547,0.8419230769230769,0.8371131221719458,0.8006199095022625,0.8042126696832579,0.767710407239819,0.7304253393665158,0.6475067873303167,0.5866606334841629,0.5891764705882353
2018-03-01 10:00:00-06,0.7787330316742082,0.7938280542986427,0.8416018099547513,0.8081493212669684,0.8258009049773756,0.8367737556561086,0.7733936651583712,0.7764027149321268,0.8399276018099547,0.8419230769230769,0.8371131221719458,0.8006199095022625,0.8042126696832579,0.767710407239819,0.7304253393665158,0.6475067873303167,0.5866606334841629
