Time,power
2018-01-02 05:15:00-06,1.341443438914027
2018-01-02 05:30:00-06,1.4498099547511314
2018-01-02 05:45:00-06,1.469556561085973
2018-01-02 06:00:00-06,1.3798416289592759
2018-01-02 06:15:00-06,1.3312714932126697
2018-01-02 06:30:00-06,1.3995475113122169
2018-01-02 06:45:00-06,1.3688371040723983
2018-01-02 07:00:00-06,1.4192533936651583
2018-01-02 07:15:00-06,1.4477420814479638
2018-01-02 07:30:00-06,1.5089185520361992
2018-01-02 07:45:00-06,1.452669683257919
2018-01-02 08:00:00-06,1.5212398190045249
2018-01-02 08:15:00-06,1.515325791855204
2018-01-02 08:30:00-06,1.588212669683258
2018-01-02 08:45:00-06,1.6211719457013574
2018-01-02 09:00:00-06,1.6207782805429864
2018-01-02 09:15:00-06,1.5807601809954752
2018-01-02 09:30:00-06,1.6023348416289596
2018-01-02 09:45:00-06,1.6618733031674209
2018-01-02 10:00:00-06,1.5723484162895929
2018-01-02 10:15:00-06,1.6783122171945704
2018-01-02 10:30:00-06,1.753470588235294
2018-01-02 10:45:00-06,1.732321266968326
2018-01-02 11:00:00-06,1.6504208144796375
2018-01-02 11:15:00-06,1.646891402714932
2018-01-02 11:30:00-06,1.6360407239819
2018-01-02 11:45:00-06,1.7439457013574662
2018-01-02 12:00:00-06,1.6113257918552035
2018-01-02 12:15:00-06,1.6430497737556562
2018-01-02 12:30:00-06,1.6299773755656108
2018-01-02 12:45:00-06,1.5930452488687787
2018-01-02 13:00:00-06,1.5852171945701357
2018-01-02 13:15:00-06,1.625081447963801
2018-01-02 13:30:00-06,1.5748914027149323
2018-01-02 13:45:00-06,1.623556561085973
2018-01-02 14:00:00-06,1.6225429864253391
2018-01-02 14:15:00-06,1.602497737556561
2018-01-02 14:30:00-06,1.5797149321266966
2018-01-02 14:45:00-06,1.5801628959276017
2018-01-02 15:00:00-06,1.5961764705882353
2018-01-02 15:15:00-06,1.6920769230769237
2018-01-02 15:30:00-06,1.5594977375565608
2018-01-02 15:45:00-06,1.5814208144796382
2018-01-02 16:00:00-06,1.6647149321266967
2018-01-02 16:15:00-06,1.5858280542986425
